Fight,Fighter,Division,Height,Reach,#Fights,Total Time,Avg Fight Time,SLpM,Str%,SApM,Str Def,TD/15,TD%,TD Def,Ctrl For,Ctrl Against,SS For,SS Att For,SS Against,SS Att Against,Str For,Str Att For,Str Against,Str Att Against,TotalTD,TD Att For,TotalTD Against,TD Att Against,Sub Att For,Sub Att Against,Reversals For,Reversals Against,KD For,KD Against
1,Dustin Poirier,Lightweight,"5'9""","72""",25,258.90999999999997,10.36,5.76,0.5,4.28,0.55,1.56,0.36,0.59,64.22,42.60000000000001,1491,2962,1107,2472,1785,3289,1464,2863,27,74,23,56,18,23,4,2,12,2
1,Conor McGregor,Lightweight,"5'9""","74""",13,107.56,8.27,5.32,0.49,4.54,0.55,0.7,0.56,0.68,13.89,27.6,572,1166,488,1077,754,1359,644,1254,5,9,10,31,0,4,1,0,13,1
2,Gilbert Burns,Welterweight,"5'10""","71""",16,179.89,11.24,3.22,0.46,3.04,0.55,2.08,0.36,0.5,46.38,23.11,579,1265,547,1213,839,1559,728,1417,25,70,10,20,8,1,0,0,4,6
2,Stephen Thompson,Welterweight,"6'0""","75""",16,232.31,14.52,4.24,0.44,2.8,0.59,0.32,0.45,0.78,17.23,22.23,985,2242,651,1577,1110,2382,847,1801,5,11,7,32,0,3,1,1,10,5
3,Tai Tuivasa,Heavyweight,"6'2""","75""",8,58.41,7.3,4.38,0.51,3.44,0.51,0.0,0.0,0.47,9.18,9.040000000000001,256,503,201,410,281,532,247,458,0,2,8,15,0,1,0,0,4,2
3,Greg Hardy,Heavyweight,"6'5""","80""",10,72.42,7.24,4.83,0.5,3.12,0.56,0.21,0.33,0.8,5.41,3.8200000000000003,350,694,226,516,385,730,239,530,1,3,2,10,0,1,0,0,3,0
4,Irene Aldana,Women's Bantamweight,"5'9""","68""",9,133.25,14.81,5.52,0.39,5.97,0.61,0.23,0.5,0.84,1.84,18.02,736,1896,795,2050,866,2038,904,2178,2,4,7,45,1,0,3,1,1,1
4,Yana Kunitskaya,Women's Bantamweight,"5'6""","68""",6,73.97,12.33,4.22,0.57,2.62,0.51,1.62,0.53,0.5,37.370000000000005,14.080000000000002,312,543,194,399,805,1101,317,549,8,15,7,14,1,1,1,0,0,1
5,Sean O'Malley,Bantamweight,"5'11""","72""",7,56.7,8.1,6.31,0.58,3.28,0.65,0.79,0.5,0.6,1.48,7.719999999999999,358,620,186,528,374,641,211,555,3,6,6,15,3,0,1,0,5,0
5,Kris Moutinho,Bantamweight,,,0,0,0,0,0,0,0,0,0,0,0,7.719999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Carlos Condit,Welterweight,"6'2""","75""",18,236.28,13.13,3.99,0.39,2.7,0.56,0.57,0.5,0.35,25.82,73.00999999999998,943,2432,638,1437,1721,3277,948,1784,9,18,56,86,11,13,9,6,6,4
6,Max Griffin,Welterweight,"5'11""","76""",11,132.58,12.05,4.14,0.49,3.94,0.56,1.7,0.52,0.67,23.859999999999996,23.12,549,1122,523,1197,695,1288,720,1430,15,29,9,27,4,0,3,0,5,1
7,Niko Price,Welterweight,"6'0""","76""",12,84.41,7.03,5.33,0.41,5.83,0.5,0.89,0.23,0.72,11.940000000000001,12.14,450,1096,492,980,560,1242,538,1035,5,22,5,18,5,3,3,0,5,4
7,Michel Pereira,Welterweight,"6'1""","73""",5,59.58,11.92,3.74,0.55,2.84,0.59,1.76,0.7,1.0,5.430000000000001,6.62,223,409,169,410,262,460,268,519,7,10,0,12,2,1,0,0,2,0
8,Ryan Hall,Featherweight,"5'10""","70""",4,47.769999999999996,11.94,2.32,0.43,0.96,0.75,0.31,0.17,0,7.54,11.450000000000001,111,256,46,187,270,437,69,219,1,6,0,0,3,0,1,0,2,0
8,Ilia Topuria,Featherweight,"5'7""","69""",2,17.63,8.81,2.5,0.46,1.87,0.69,4.25,0.56,1.0,8.08,3.0700000000000003,44,96,33,105,61,126,56,138,5,9,0,2,5,1,0,3,1,0
9,Trevin Giles,Middleweight,"6'0""","74""",7,87.62,12.52,3.26,0.56,1.88,0.62,1.37,0.8,0.79,18.22,18.99,286,509,165,438,376,606,307,604,8,10,5,24,2,8,2,3,3,1
9,Dricus Du Plessis,Middleweight,"6'1""","76""",1,3.37,3.37,7.72,0.45,4.15,0.67,0.0,0,0,0.03,0.0,26,58,14,43,26,58,14,43,0,0,0,0,0,0,0,0,1,0
10,Jennifer Maia,Women's Flyweight,"5'4""","64""",6,89.48,14.91,3.34,0.39,3.52,0.52,0.34,0.5,0.57,17.47,25.880000000000003,299,762,315,658,435,914,683,1061,2,4,10,23,1,0,0,0,0,0
10,Jessica Eye,Women's Flyweight,"5'6""","66""",14,201.93,14.42,3.76,0.37,4.01,0.56,0.45,0.4,0.57,22.560000000000002,44.44,760,2050,810,1836,1012,2338,1224,2303,6,15,18,42,7,8,0,0,0,2
11,Omari Akhmedov,Middleweight,"6'0""","73""",14,165.15,11.8,2.95,0.35,2.59,0.58,2.63,0.49,0.66,37.220000000000006,23.56,487,1390,428,1008,752,1697,609,1211,29,59,15,44,3,10,0,3,2,2
11,Brad Tavares,Middleweight,"6'1""","74""",19,248.08,13.06,3.04,0.41,2.73,0.56,0.97,0.27,0.8,41.870000000000005,50.50999999999999,753,1835,677,1556,977,2085,1003,1913,16,59,18,88,0,8,2,1,3,6
12,Zhalgas Zhumagulov,Flyweight,"5'4""","66""",2,30.0,15.0,4.17,0.5,4.0,0.59,1.5,0.21,0.33,0.9299999999999999,4.35,125,251,120,290,147,276,150,325,3,14,2,3,0,0,0,0,0,0
12,Jerome Rivera,Flyweight,"5'10""","72""",4,36.0,9.0,3.08,0.34,2.47,0.51,0.0,0.0,0.4,4.720000000000001,14.08,111,322,89,182,211,444,107,206,0,10,6,10,0,2,2,1,0,2
13,Hu Yaozong,Middleweight,"6'3""","72""",2,22.55,11.28,4.43,0.52,5.23,0.39,0.0,0.0,0.0,5.6000000000000005,6.37,100,192,118,192,109,205,199,286,0,1,4,4,1,1,0,0,0,1
13,Alen Amedovski,Middleweight,"5'10""","74""",2,15.28,7.64,0.52,0.29,3.14,0.38,0.0,0,0.0,0.22,9.629999999999999,8,28,48,77,8,28,116,157,0,0,4,4,0,0,1,0,0,1
